sprint_id,day_of_sprint,day_label,planned_cumulative_points,committed_cumulative_points,actual_cumulative_points,ideal_burn_points,scope_added_points,scope_removed_points,defects_found_cumulative
SP-4,0,Day 0,0,0,0,0,0,0,0
SP-4,3,Day 3,25,30,18,25,10,0,2
SP-4,7,Day 7,55,60,45,55,0,5,5
SP-4,10,Day 10,90,95,78,90,0,0,7
SP-4,14,Day 14,130,140,120,130,0,0,10
SP-4,18,Day 18,165,170,145,165,0,5,12
SP-4,20,Day 20,180,170,155,170,0,5,12
SP-3,0,Day 0,0,0,0,0,0,0,0
SP-3,3,Day 3,30,28,22,30,15,0,3
SP-3,7,Day 7,60,62,50,60,0,3,6
SP-3,10,Day 10,95,98,82,95,0,0,8
SP-3,14,Day 14,135,145,125,135,0,5,10
SP-3,18,Day 18,170,175,155,170,0,10,12
SP-3,20,Day 20,185,175,165,175,0,10,14
SP-2,0,Day 0,0,0,0,0,0,0,0
SP-2,3,Day 3,30,35,25,30,5,0,2
SP-2,7,Day 7,65,70,55,65,0,0,4
SP-2,10,Day 10,100,105,88,100,0,0,6
SP-2,14,Day 14,140,145,125,140,0,0,8
SP-2,18,Day 18,165,180,155,165,0,0,10
SP-2,19,Day 19,180,180,170,180,0,0,11
SP-1,0,Day 0,0,0,0,0,0,0,0
SP-1,3,Day 3,25,20,20,25,-5,0,2
SP-1,7,Day 7,55,60,48,55,0,5,4
SP-1,10,Day 10,90,95,75,90,0,0,6
SP-1,14,Day 14,130,135,110,130,0,0,7
SP-1,18,Day 18,160,165,142,160,0,0,8
SP-1,20,Day 20,175,165,160,165,0,0,9
