source_file,sprint_id,issue_key,summary,status,assignee,day_label,planned_cumulative_points,committed_cumulative_points,actual_cumulative_points,ideal_burn_points,scope_added_points,scope_removed_points,defects_found_cumulative,velocity_points,completed_points,committed_points,person,estimated_work_days_used,story_points_completed
sprint_summary.csv,SP-1,"","","","","","","","","","","","","100","80","90","","",""
sprint_summary.csv,SP-2,"","","","","","","","","","","","","120","95","110","","",""
sprint_summary.csv,SP-3,"","","","","","","","","","","","","135","110","125","","",""
sprint_summary.csv,SP-4,"","","","","","","","","","","","","150","125","140","","",""
burn_proxy.csv,SP-1,"","","","","Day 0","0","0","0","0","0","0","0","","","","","",""
burn_proxy.csv,SP-1,"","","","","Day 3","25","20","18","25","-5","0","2","","","","","",""
burn_proxy.csv,SP-1,"","","","","Day 7","55","60","48","55","0","5","4","","","","","",""
burn_proxy.csv,SP-2,"","","","","Day 0","0","0","0","0","0","0","0","","","","","",""
burn_proxy.csv,SP-2,"","","","","Day 3","30","35","25","30","5","0","2","","","","","",""
burn_proxy.csv,SP-2,"","","","","Day 7","65","70","55","65","0","0","4","","","","","",""
burn_proxy.csv,SP-3,"","","","","Day 0","0","0","0","0","0","0","0","","","","","",""
burn_proxy.csv,SP-3,"","","","","Day 3","30","28","22","30","15","0","3","","","","","",""
burn_proxy.csv,SP-3,"","","","","Day 7","60","62","50","60","0","3","6","","","","","",""
burn_proxy.csv,SP-4,"","","","","Day 0","0","0","0","0","0","0","0","","","","","",""
burn_proxy.csv,SP-4,"","","","","Day 3","25","30","18","25","10","0","2","","","","","",""
burn_proxy.csv,SP-4,"","","","","Day 7","55","60","45","55","0","5","5","","","","","",""
per_person.csv,SP-1,"","","","","","","","","","","","","","","","","Alex","6","18"
per_person.csv,SP-1,"","","","","","","","","","","","","","","","","Jordan","7","20"
per_person.csv,SP-2,"","","","","","","","","","","","","","","","","Taylor","5","15"
per_person.csv,SP-2,"","","","","","","","","","","","","","","","","Casey","6","16"
per_person.csv,SP-3,"","","","","","","","","","","","","","","","","Morgan","7","19"
per_person.csv,SP-3,"","","","","","","","","","","","","","","","","Riley","6","17"
per_person.csv,SP-4,"","","","","","","","","","","","","","","","","Avery","8","22"
per_person.csv,SP-4,"","","","","","","","","","","","","","","","","Jamie","7","20"
jira.csv,SP-1,"PROJ-101","Add login flow","Done","Alice","","","","","","","","","","","","","",""
jira.csv,SP-2,"PROJ-102","Create dashboard","In Progress","Bob","","","","","","","","","","","","","",""
jira.csv,SP-3,"PROJ-103","Fix API bug","Review","Carol","","","","","","","","","","","","","",""
jira.csv,SP-4,"PROJ-104","Add export flow","Done","Dana","","","","","","","","","","","","","",""
