sprint_id,category,planned_count,completed_count,added_count,removed_count,defect_count,cycle_time_avg_days
SP-4,Feature,40,35,2,1,6,6.2
SP-4,Bugfix,10,12,4,0,5,3.8
SP-4,TechDebt,15,12,0,3,1,5.5
SP-4,Chore,25,3,0,22,0,1.0
SP-3,Feature,42,37,3,1,7,6.0
SP-3,Bugfix,12,14,4,0,6,3.6
SP-3,TechDebt,15,13,1,2,1,5.1
SP-3,Chore,20,2,0,18,0,1.0
SP-2,Feature,44,38,2,1,6,6.4
SP-2,Bugfix,11,15,3,0,4,3.9
SP-2,TechDebt,16,14,0,2,1,5.3
SP-2,Chore,19,1,0,18,0,1.0
SP-1,Feature,39,36,1,4,5,6.1
SP-1,Bugfix,10,14,2,0,3,3.5
SP-1,TechDebt,14,12,0,2,1,5.0
SP-1,Chore,22,2,0,20,0,1.0
